分类,物品名称 (Label),代码名 (defName),品牌/梗设定,AI提示词 (风格A: 原版矢量),AI提示词 (风格B: 精致图标),素材状态 (未/已生成),备注
通讯设备,Nokirim,Apparel_Nokirim,"Nokirim (诺基林) / 砸核桃,挡子弹",game asset vector art 2d Nokia 3310 brick phone grey hard plastic monochrome screen thick black outline white background --no shade,icon design sturdy retro brick mobile phone dark grey indestructible polymer texture green monochrome lcd screen tactical style white background,未生成,需要体现硬度
通讯设备,iShen Pro Max,Apparel_iShen_Phone,"iShen (肾果) / 卖肾,黑高领",game asset vector art 2d modern smartphone sleek black glass screen rounded corners apple style thick black outline white background,"icon design high-end flagship smartphone glossy black screen titanium frame triple camera lens
 luxury tech reflection white background",未生成,旗舰质感
通讯设备,iShen Pad Pro,Apparel_iShen_Pad,iShen (肾果) / 买前生产力,game asset vector art 2d digital tablet device large black screen thin bezel silver metal back thick black outline white background,icon design professional digital tablet productivity tool stylus pen nearby complex interface sleek aluminum body white background,未生成,带手写笔
通讯设备,iShen Watch Ultra,Apparel_iShen_Watch,iShen (肾果) / 每天充电,game asset vector art 2d smart watch orange fabric strap square titanium case black screen thick black outline white background,icon design rugged smart watch ultra version bright orange alpine loop strap glowing health monitor screen white background,未生成,橙色表带
辅助设备,Rimdle,Apparel_Amazun_Rimdle,"Amazun (阿玛森) / 盖泡面,墨水屏",game asset vector art 2d e-reader device matte black bezel e-ink screen text simple design thick black outline white background,icon design e-ink electronic reader paper-like screen soft light black plastic casing Amazon kindle style white background,未生成,屏幕要灰白
掌机,RiDS,Apparel_Rimtendo_RiDS,"Rimtendo (任天缘) / 双屏,转轴",game asset vector art 2d dual screen handheld game console clamshell design white plastic folded open thick black outline white background,icon design retro dual screen handheld console white body stylus pen clamshell mechanism nintendo ds vibe white background,未生成,双屏展开状态
掌机,Riwitch 1,Apparel_Rimtendo_Switch1,"Rimtendo (任天缘) / 红蓝手柄,漂移",game asset vector art 2d hybrid game console tablet with red and blue controllers on sides screen in middle thick black outline white background,icon design switch style console neon red and neon blue joypads attached black screen plastic texture white background,未生成,红蓝配色
掌机,Riwitch 2,Apparel_Rimtendo_Switch2,"Rimtendo (任天缘) / 深空灰,呼吸灯",game asset vector art 2d modern handheld console dark grey matte finish glowing led rings under joysticks thick black outline white background,icon design pro handheld gaming device premium space grey metal rgb lighting ring around sticks cyberpunk vibe white background,未生成,深空灰高级感
掌机,RSP,Apparel_RONY_RSP,"RONY (缘尼) / 黑色流线,硬核",game asset vector art 2d portable gaming device black curvy shape wide screen glossy piano black finish thick black outline white background,icon design high-tech portable console psp vita style piano black glossy surface ergonomic curves white background,未生成,钢琴烤漆黑
主机,Rimbox 360,Building_Macrosoft_360,"Macrosoft (微硬) / 三红,白色",game asset vector art 2d old white game console vertical standing slightly curved green power button light thick black outline white background,icon design vintage white game console xbox 360 style plastic texture slight yellowing red ring of death light glowing white background,未生成,要立起来的
主机,Rimbox Series X,Building_Macrosoft_SeriesX,"Macrosoft (微硬) / 黑塔,绿光",game asset vector art 2d minimalist black tower console rectangular block green holes on top thick black outline white background,icon design monolith black console xbox series x style matte black texture glowing green ventilation grill on top white background,未生成,顶部绿孔
主机,RimStation 5,Building_RONY_Station5,"RONY (缘尼) / 白衣领,蓝光",game asset vector art 2d futuristic white console curved white side panels black center blue light strip thick black outline white background,icon design sci-fi game console ps5 style organic white curves glossy black center glowing blue led strip liquid metal white background,未生成,曲线设计
主机,RimStation 5 Pro,Building_RONY_Station5Pro,"RONY (缘尼) / 散热条纹,至尊",game asset vector art 2d elite game console black center with three distinct cooling stripes aggressive design thick black outline white background,icon design pro version game console ps5 pro style three black ventilation stripes on side futuristic tech expensive texture white background,未生成,强调三道杠
